Gymnast Name,Gymnast ID,Active,Apparatus,Skill Name,Total Competed,Total Landed,Total Falls
"Jakob Myhrman",93e638b9-c3f8-4c8e-95fe-21f7760f1511,true,trampette,"Full Half Straight",1,1,0
"Jakob Myhrman",93e638b9-c3f8-4c8e-95fe-21f7760f1511,true,trampette,"Full Rudy Straight",2,2,0
"Jakob Myhrman",93e638b9-c3f8-4c8e-95fe-21f7760f1511,true,trampette,"Handspring Straight 0.5",1,1,0
"Jakob Myhrman",93e638b9-c3f8-4c8e-95fe-21f7760f1511,true,trampette,"Handspring Straight 1.5",2,1,1
"Jakob Myhrman",93e638b9-c3f8-4c8e-95fe-21f7760f1511,true,trampette,"Tripple Tuck 0.5",2,2,0
"Jakob Myhrman",93e638b9-c3f8-4c8e-95fe-21f7760f1511,true,tumbling,"Pike Handspring Double Pike 0.5",1,1,0
"Jakob Myhrman",93e638b9-c3f8-4c8e-95fe-21f7760f1511,true,tumbling,"Pike Handspring Double Tuck 0.5",3,3,0
"Jakob Myhrman",93e638b9-c3f8-4c8e-95fe-21f7760f1511,true,tumbling,"Roundoff Flick Double Straight",3,3,0
"Jakob Myhrman",93e638b9-c3f8-4c8e-95fe-21f7760f1511,true,tumbling,"Straight Handspring Straight 1.5",1,1,0
"Jesper Rönäs",6b2265c4-0ba0-484b-9b6c-7d3f414861e6,true,trampette,"Full Half Straight",1,1,0
"Jesper Rönäs",6b2265c4-0ba0-484b-9b6c-7d3f414861e6,true,trampette,"Full Rudy Straight",1,1,0
"Jesper Rönäs",6b2265c4-0ba0-484b-9b6c-7d3f414861e6,true,trampette,"Handspring Straight 1.5",1,1,0
"Jesper Rönäs",6b2265c4-0ba0-484b-9b6c-7d3f414861e6,true,trampette,"Tripple Pike 0.5",1,1,0
"Jesper Rönäs",6b2265c4-0ba0-484b-9b6c-7d3f414861e6,true,trampette,"Tripple Tuck 0.5",2,1,1
"Jesper Rönäs",6b2265c4-0ba0-484b-9b6c-7d3f414861e6,true,tumbling,"Pike Handspring Double Pike 0.5",1,1,0
"Jesper Rönäs",6b2265c4-0ba0-484b-9b6c-7d3f414861e6,true,tumbling,"Pike Handspring Double Tuck 0.5",1,1,0
"Johan Frank",e420b5e7-5d5f-4148-b0e3-8767a76178fa,true,trampette,"Full Half Straight",1,1,0
"Johan Frank",e420b5e7-5d5f-4148-b0e3-8767a76178fa,true,trampette,"Full Rudy Straight",1,1,0
"Johan Frank",e420b5e7-5d5f-4148-b0e3-8767a76178fa,true,trampette,"Handspring Straight 0.5",1,1,0
"Johan Frank",e420b5e7-5d5f-4148-b0e3-8767a76178fa,true,trampette,"Handspring Straight 1.5",1,1,0
"Johan Frank",e420b5e7-5d5f-4148-b0e3-8767a76178fa,true,trampette,"Tripple Tuck 0.5",2,2,0
"Johan Frank",e420b5e7-5d5f-4148-b0e3-8767a76178fa,true,tumbling,"Pike Handspring Double Pike 0.5",2,2,0
"Johan Frank",e420b5e7-5d5f-4148-b0e3-8767a76178fa,true,tumbling,"Pike Handspring Double Tuck 0.5",1,1,0
"Johan Frank",e420b5e7-5d5f-4148-b0e3-8767a76178fa,true,tumbling,"Roundoff Flick Double Straight",1,1,0
"Johan Frank",e420b5e7-5d5f-4148-b0e3-8767a76178fa,true,tumbling,"Roundoff Flick Double Straight 2.0",2,2,0
"Johan Frank",e420b5e7-5d5f-4148-b0e3-8767a76178fa,true,tumbling,"Straight Handspring Straight 1.5",1,1,0
"Karl Wedar",d7bd5402-b562-48ca-876e-323a6a7de0b8,true,trampette,"Tripple Pike 0.5",1,1,0
"Karl Wedar",d7bd5402-b562-48ca-876e-323a6a7de0b8,true,tumbling,"Roundoff Double Straight Whip Flick Double Tuck 2.0",1,1,0
"Karl Wedar",d7bd5402-b562-48ca-876e-323a6a7de0b8,true,tumbling,"Roundoff Flick Double Straight",1,1,0
"Karl Wedar",d7bd5402-b562-48ca-876e-323a6a7de0b8,true,tumbling,"Roundoff Flick Double Straight 1.0",2,2,0
"Karl Wedar",d7bd5402-b562-48ca-876e-323a6a7de0b8,true,tumbling,"Roundoff Flick Double Straight 2.0",1,1,0
"Karl Wedar",d7bd5402-b562-48ca-876e-323a6a7de0b8,true,tumbling,"Roundoff Flick Miller Straight",3,3,0
"Liam Zahn",29b44abd-afc3-4068-ab04-d1274d796b0a,false,trampette,"Tripple Tuck 0.5",3,3,0
"Liam Zahn",29b44abd-afc3-4068-ab04-d1274d796b0a,false,tumbling,"Pike Handspring Double Tuck",1,0,1
"Liam Zahn",29b44abd-afc3-4068-ab04-d1274d796b0a,false,tumbling,"Roundoff Flick Double Straight",2,2,0
"Liam Zahn",29b44abd-afc3-4068-ab04-d1274d796b0a,false,tumbling,"Roundoff Flick Double Straight 2.0",2,2,0
"Ludwig Söderström",697c3921-b56f-48d5-b92c-7a227a385bed,true,trampette,"Full Rudy Straight",1,1,0
"Ludwig Söderström",697c3921-b56f-48d5-b92c-7a227a385bed,true,trampette,"Handspring Straight 1.5",1,1,0
"Ludwig Söderström",697c3921-b56f-48d5-b92c-7a227a385bed,true,trampette,"Tripple Tuck 0.5",1,1,0
"Ludwig Söderström",697c3921-b56f-48d5-b92c-7a227a385bed,true,tumbling,"Roundoff Flick Double Straight",1,1,0
"Lukas Abrahamsson",e7967cff-b468-43cc-9f3f-ada880496549,true,trampette,"Full Half Straight",1,0,1
"Lukas Abrahamsson",e7967cff-b468-43cc-9f3f-ada880496549,true,trampette,"Full Rudy Straight",1,1,0
"Lukas Abrahamsson",e7967cff-b468-43cc-9f3f-ada880496549,true,trampette,"Handspring Straight 0.5",1,1,0
"Lukas Abrahamsson",e7967cff-b468-43cc-9f3f-ada880496549,true,trampette,"Tripple Tuck 0.5",2,2,0
"Lukas Abrahamsson",e7967cff-b468-43cc-9f3f-ada880496549,true,tumbling,"Roundoff Flick Double Straight",1,1,0
"Lukas Abrahamsson",e7967cff-b468-43cc-9f3f-ada880496549,true,tumbling,"Roundoff Flick Double Straight 1.0",1,1,0
"Lukas Abrahamsson",e7967cff-b468-43cc-9f3f-ada880496549,true,tumbling,"Roundoff Flick Double Straight 2.0",1,1,0
"Lukas Abrahamsson",e7967cff-b468-43cc-9f3f-ada880496549,true,tumbling,"Straight Handspring Straight 1.5",1,1,0
"Melvin Widfeldt",209ce609-8324-44bc-b0ba-4e3bc47314c1,true,trampette,"Full Full Half Tuck",5,5,0
"Melvin Widfeldt",209ce609-8324-44bc-b0ba-4e3bc47314c1,true,trampette,"Full Half Straight",1,1,0
"Melvin Widfeldt",209ce609-8324-44bc-b0ba-4e3bc47314c1,true,trampette,"Handspring Full Half Tuck",5,5,0
"Melvin Widfeldt",209ce609-8324-44bc-b0ba-4e3bc47314c1,true,trampette,"Tripple Pike 0.5",5,5,0
"Melvin Widfeldt",209ce609-8324-44bc-b0ba-4e3bc47314c1,true,tumbling,"Pike Handspring Double Straight 0.5",3,3,0
"Melvin Widfeldt",209ce609-8324-44bc-b0ba-4e3bc47314c1,true,tumbling,"Pike Handspring Double Straight 1.5",2,2,0
"Melvin Widfeldt",209ce609-8324-44bc-b0ba-4e3bc47314c1,true,tumbling,"Pike Handspring Full Half Straight",3,3,0
"Melvin Widfeldt",209ce609-8324-44bc-b0ba-4e3bc47314c1,true,tumbling,"Pike Handspring Full Half Tuck",1,1,0
"Melvin Widfeldt",209ce609-8324-44bc-b0ba-4e3bc47314c1,true,tumbling,"Roundoff Double Straight Whip Flick Double Tuck 1.0",2,2,0
"Melvin Widfeldt",209ce609-8324-44bc-b0ba-4e3bc47314c1,true,tumbling,"Roundoff Double Straight Whip Flick Double Tuck 2.0",3,3,0
"Melvin Widfeldt",209ce609-8324-44bc-b0ba-4e3bc47314c1,true,tumbling,"Roundoff Flick Double Straight",1,1,0
"Melvin Widfeldt",209ce609-8324-44bc-b0ba-4e3bc47314c1,true,tumbling,"Roundoff Flick Double Straight 2.0",4,4,0
"Nicolai Kristersson Campbell",12fba90f-7f58-4bc5-a2a6-127e54d5a922,true,trampette,"Full Full Half Tuck",3,3,0
"Nicolai Kristersson Campbell",12fba90f-7f58-4bc5-a2a6-127e54d5a922,true,trampette,"Full Half Straight",1,1,0
"Nicolai Kristersson Campbell",12fba90f-7f58-4bc5-a2a6-127e54d5a922,true,trampette,"Handspring Full Half Tuck",3,2,1
"Nicolai Kristersson Campbell",12fba90f-7f58-4bc5-a2a6-127e54d5a922,true,trampette,"Tripple Pike 0.5",3,3,0
"Nicolai Kristersson Campbell",12fba90f-7f58-4bc5-a2a6-127e54d5a922,true,tumbling,"Pike Handspring Double Tuck 1.5",1,1,0
"Nicolai Kristersson Campbell",12fba90f-7f58-4bc5-a2a6-127e54d5a922,true,tumbling,"Pike Handspring Full Half Tuck",2,2,0
"Nicolai Kristersson Campbell",12fba90f-7f58-4bc5-a2a6-127e54d5a922,true,tumbling,"Roundoff Flick Double Straight 2.0",3,3,0
"Nicolai Kristersson Campbell",12fba90f-7f58-4bc5-a2a6-127e54d5a922,true,tumbling,"Roundoff Flick Miller Straight",3,3,0
"Otto Laidwa",3f1009af-ef9a-457b-b933-43daaac413bc,true,trampette,"Full Half Straight",2,2,0
"Otto Laidwa",3f1009af-ef9a-457b-b933-43daaac413bc,true,trampette,"Handspring Straight 2.5",4,3,1
"Otto Laidwa",3f1009af-ef9a-457b-b933-43daaac413bc,true,trampette,"Tripple Pike 0.5",7,7,0
"Otto Laidwa",3f1009af-ef9a-457b-b933-43daaac413bc,true,trampette,"Tripple Tuck 0.5",5,4,1
"Otto Laidwa",3f1009af-ef9a-457b-b933-43daaac413bc,true,tumbling,"Pike Handspring Double Pike 0.5",3,3,0
"Otto Laidwa",3f1009af-ef9a-457b-b933-43daaac413bc,true,tumbling,"Pike Handspring Double Straight 0.5",2,2,0
"Otto Laidwa",3f1009af-ef9a-457b-b933-43daaac413bc,true,tumbling,"Pike Handspring Double Tuck 0.5",1,1,0
"Otto Laidwa",3f1009af-ef9a-457b-b933-43daaac413bc,true,tumbling,"Pike Handspring Double Tuck 1.5",1,1,0
"Otto Laidwa",3f1009af-ef9a-457b-b933-43daaac413bc,true,tumbling,"Pike Handspring Full Half Tuck",2,0,2
"Otto Laidwa",3f1009af-ef9a-457b-b933-43daaac413bc,true,tumbling,"Roundoff Flick Double Straight",1,1,0
"Otto Laidwa",3f1009af-ef9a-457b-b933-43daaac413bc,true,tumbling,"Roundoff Flick Double Straight 1.0",2,2,0
"Otto Laidwa",3f1009af-ef9a-457b-b933-43daaac413bc,true,tumbling,"Roundoff Flick Double Straight 2.0",4,4,0
"Per Sjöstedt",b25ec4d2-86be-4309-9801-f70fa9ae3b78,true,trampette,"Full Full Half Tuck",3,3,0
"Per Sjöstedt",b25ec4d2-86be-4309-9801-f70fa9ae3b78,true,trampette,"Handspring Straight 2.5",6,6,0
"Per Sjöstedt",b25ec4d2-86be-4309-9801-f70fa9ae3b78,true,trampette,"Tripple Pike 0.5",6,6,0
"Per Sjöstedt",b25ec4d2-86be-4309-9801-f70fa9ae3b78,true,trampette,"Tripple Tuck 0.5",3,3,0
"Per Sjöstedt",b25ec4d2-86be-4309-9801-f70fa9ae3b78,true,tumbling,"Pike Handspring Double Pike 0.5",2,1,1
"Per Sjöstedt",b25ec4d2-86be-4309-9801-f70fa9ae3b78,true,tumbling,"Roundoff Flick Double Straight",1,1,0
"Per Sjöstedt",b25ec4d2-86be-4309-9801-f70fa9ae3b78,true,tumbling,"Roundoff Flick Double Straight 2.0",5,5,0
"Per Sjöstedt",b25ec4d2-86be-4309-9801-f70fa9ae3b78,true,tumbling,"Roundoff Flick Miller Straight",3,2,1
"Sebastian Lassen Wandahl",e3ba792a-0b0a-4c93-9380-184e167b73c5,false,trampette,"Double Tsukahara Tuck 2.0",1,1,0
"Sebastian Lassen Wandahl",e3ba792a-0b0a-4c93-9380-184e167b73c5,false,trampette,"Full Full Half Tuck",1,1,0
"Sebastian Lassen Wandahl",e3ba792a-0b0a-4c93-9380-184e167b73c5,false,trampette,"Tripple Tuck 0.5",1,1,0
"Sebastian Lassen Wandahl",e3ba792a-0b0a-4c93-9380-184e167b73c5,false,tumbling,"Pike Handspring Double Staight 1.5",1,1,0
"Sebastian Lassen Wandahl",e3ba792a-0b0a-4c93-9380-184e167b73c5,false,tumbling,"Roundoff Double Straight Whip Flick Double Tuck 2.0",1,1,0
"Sebastian Lassen Wandahl",e3ba792a-0b0a-4c93-9380-184e167b73c5,false,tumbling,"Roundoff Flick Double Straight",1,1,0
"Viktor Attermalm",3d283bb5-3d50-4102-a6f1-198c0a1e7a5e,true,trampette,"Handspring Straight 2.5",5,5,0
"Viktor Attermalm",3d283bb5-3d50-4102-a6f1-198c0a1e7a5e,true,trampette,"Tripple Pike 0.5",4,4,0
"Viktor Attermalm",3d283bb5-3d50-4102-a6f1-198c0a1e7a5e,true,trampette,"Tripple Tuck 0.5",5,4,1
"Viktor Attermalm",3d283bb5-3d50-4102-a6f1-198c0a1e7a5e,true,tumbling,"Pike Handspring Double Pike 0.5",4,3,1
"Viktor Attermalm",3d283bb5-3d50-4102-a6f1-198c0a1e7a5e,true,tumbling,"Pike Handspring Double Tuck 0.5",4,4,0
"Vilgot Asp",50f356e7-fb3d-47e6-86ef-4a8942fa57fd,true,trampette,"Handspring Straight 1.5",1,1,0
"Vilgot Asp",50f356e7-fb3d-47e6-86ef-4a8942fa57fd,true,trampette,"Tripple Pike 0.5",2,2,0
"Vilgot Asp",50f356e7-fb3d-47e6-86ef-4a8942fa57fd,true,trampette,"Tripple Tuck 0.5",2,2,0
